# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: C:\Users\Abhay\Desktop\LC3.csv
# Generated on: Thu Feb 27 15:55:10 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ADDR[19],Output,PIN_T8,2,B2_N1,,,,,,
ADDR[18],Output,PIN_AB8,3,B3_N2,,,,,,
ADDR[17],Output,PIN_AB9,3,B3_N2,,,,,,
ADDR[16],Output,PIN_AC11,3,B3_N0,,,,,,
ADDR[15],Output,PIN_AB11,3,B3_N1,,,,,,
ADDR[14],Output,PIN_AA4,2,B2_N1,,,,,,
ADDR[13],Output,PIN_AC3,2,B2_N1,,,,,,
ADDR[12],Output,PIN_AB4,2,B2_N2,,,,,,
ADDR[11],Output,PIN_AD3,2,B2_N1,,,,,,
ADDR[10],Output,PIN_AF2,2,B2_N2,,,,,,
ADDR[9],Output,PIN_T7,2,B2_N0,,,,,,
ADDR[8],Output,PIN_AF5,3,B3_N2,,,,,,
ADDR[7],Output,PIN_AC5,2,B2_N2,,,,,,
ADDR[6],Output,PIN_AB5,2,B2_N2,,,,,,
ADDR[5],Output,PIN_AE6,3,B3_N2,,,,,,
ADDR[4],Output,PIN_AB6,2,B2_N2,,,,,,
ADDR[3],Output,PIN_AC7,3,B3_N2,,,,,,
ADDR[2],Output,PIN_AE7,3,B3_N1,,,,,,
ADDR[1],Output,PIN_AD7,3,B3_N2,,,,,,
ADDR[0],Output,PIN_AB7,3,B3_N1,,,,,,
CE,Output,PIN_AF8,3,B3_N1,,,,,,
Clk,Input,PIN_Y2,2,B2_N0,,,,,,
Continue,Input,PIN_N21,6,B6_N2,,,,,,
Data[15],Bidir,PIN_AG3,3,B3_N2,,,,,,
Data[14],Bidir,PIN_AF3,3,B3_N2,,,,,,
Data[13],Bidir,PIN_AE4,3,B3_N2,,,,,,
Data[12],Bidir,PIN_AE3,2,B2_N2,,,,,,
Data[11],Bidir,PIN_AE1,2,B2_N1,,,,,,
Data[10],Bidir,PIN_AE2,2,B2_N1,,,,,,
Data[9],Bidir,PIN_AD2,2,B2_N1,,,,,,
Data[8],Bidir,PIN_AD1,2,B2_N1,,,,,,
Data[7],Bidir,PIN_AF7,3,B3_N1,,,,,,
Data[6],Bidir,PIN_AH6,3,B3_N2,,,,,,
Data[5],Bidir,PIN_AG6,3,B3_N2,,,,,,
Data[4],Bidir,PIN_AF6,3,B3_N2,,,,,,
Data[3],Bidir,PIN_AH4,3,B3_N2,,,,,,
Data[2],Bidir,PIN_AG4,3,B3_N2,,,,,,
Data[1],Bidir,PIN_AF4,3,B3_N2,,,,,,
Data[0],Bidir,PIN_AH3,3,B3_N2,,,,,,
HEX0[6],Output,PIN_H22,6,B6_N0,,,,,,
HEX0[5],Output,PIN_J22,6,B6_N0,,,,,,
HEX0[4],Output,PIN_L25,6,B6_N1,,,,,,
HEX0[3],Output,PIN_L26,6,B6_N1,,,,,,
HEX0[2],Output,PIN_E17,7,B7_N2,,,,,,
HEX0[1],Output,PIN_F22,7,B7_N0,,,,,,
HEX0[0],Output,PIN_G18,7,B7_N2,,,,,,
HEX1[6],Output,PIN_U24,5,B5_N0,,,,,,
HEX1[5],Output,PIN_U23,5,B5_N1,,,,,,
HEX1[4],Output,PIN_W25,5,B5_N1,,,,,,
HEX1[3],Output,PIN_W22,5,B5_N0,,,,,,
HEX1[2],Output,PIN_W21,5,B5_N1,,,,,,
HEX1[1],Output,PIN_Y22,5,B5_N0,,,,,,
HEX1[0],Output,PIN_M24,6,B6_N2,,,,,,
HEX2[6],Output,PIN_W28,5,B5_N1,,,,,,
HEX2[5],Output,PIN_W27,5,B5_N1,,,,,,
HEX2[4],Output,PIN_Y26,5,B5_N1,,,,,,
HEX2[3],Output,PIN_W26,5,B5_N1,,,,,,
HEX2[2],Output,PIN_Y25,5,B5_N1,,,,,,
HEX2[1],Output,PIN_AA26,5,B5_N1,,,,,,
HEX2[0],Output,PIN_AA25,5,B5_N1,,,,,,
HEX3[6],Output,PIN_Y19,4,B4_N0,,,,,,
HEX3[5],Output,PIN_AF23,4,B4_N0,,,,,,
HEX3[4],Output,PIN_AD24,4,B4_N0,,,,,,
HEX3[3],Output,PIN_AA21,4,B4_N0,,,,,,
